category,most_common_text
спорт,"«Яндекс» сообщил, что компания решила оставить пользователям начисленный системой «Яндекс Пэй» по ошибке 100% кешбэк баллами «Плюса» вместо стандартного по категории «Супермаркеты» и некоторые другие при оплате картой «Пэй» за 1 июля.

#Яндекс #ТехническиеШоколадки"
политика,"Японская Vaio представила портативный 14-дюймовый монитор Vaio Vision Plus 14 с разрешением 1920х1200 и весом 325 г. В самой широкой части толщина монитора составляет 12,4 мм, а в самой тонкой — 3,9 мм.

#техника"
мода,"Дайджест научпоп-новостей за неделю, о которых мы ничего не писали

#наука"
образование,"Как работают языковые модели

#Перевод #ИскИн"
инциденты и катастрофы,"Видеохостинг YouTube изменил правила площадки, позволив пользователям запрашивать удаление контента, созданного при помощи искусственного интеллекта. Также компания разрешила подавать запросы на иной синтетический контент, который имитирует лицо или голос пользователей.

#YouTube #ИскИн"
здоровье,"«МТС Live» до конца 2024 года запустит собственный театр на месте бывшего концертного зала «Мир» на Цветном бульваре в Москве. Развивать проект, который получил название «Театр на Цветном» компания планирует совместно с партнёрами: ресторанным холдингом Pinskiy & Co Антона Пинского и клоунским лейблом «Клаунхаус» (включает в себя продюсерский центр для клоунов, креативное агентство и продакшн).

#бизнес"
технологии,"Краткий обзор экономической повестки дня:

🔹 Министерство финансов России 3 июля проведет аукционы по продаже ОФЗ-ПД серии 26248 и ОФЗ-ПК серии 29025 в объемах остатков, доступных для размещения в каждом выпуске, говорится в сообщении Минфина.

🔹 Совокупный объем торгов на рынках ""Московской биржи"" в июне 2024 года по сравнению с июнем 2023 года увеличился на 17,8%, до 114,6 трлн рублей с 97,3 трлн рублей, сообщается в пресс-релизе биржи.

🔹 Акционеры ПАО ""Абрау-Дюрсо"", ведущего производителя игристых вин в РФ, утвердили рекомендацию совета директоров по выплате финальных дивидендов за 2023 год в размере 3,27 рубля на акцию, сообщается в материалах компании.

🔹 Акционеры ПАО ""Алкогольная группа Кристалл"" на годовом собрании 28 июня утвердили рекомендацию совета директоров не выплачивать дивиденды по итогам 2023 года, сообщается в материалах компании.

🔹 Акционеры ПАО ""Нижнекамскнефтехим"" (НКНХ, входит в ""СИБУР"") на годовом собрании утвердили рекомендацию совета директоров о выплате дивидендов по итогам 2023 года из расчета 2,94 рубля на все виды акций, говорится в сообщении компании.

🔹 Акционеры ПАО ""Казаньоргсинтез"" (входит в ""СИБУР"") на годовом собрании утвердили рекомендацию совета директоров о выплате дивидендов по итогам 2023 года из расчета 6,22 рубля на обыкновенную и 0,25 рубля на привилегированную акции, говорится в сообщении компании.

🔹 Акционеры ПАО ""ВУШ Холдинг"" (оператор сервиса кикшеринга Whoosh ) на годовом собрании приняли решение не выплачивать дивиденды за 2023 год, говорится в сообщении компании.

🔹 Годовое собрание акционеров ПАО ""СПБ биржа"", проведенное 28 июня в форме в заочного голосования, приняло решение по результатам 2023 года дивиденды на обыкновенные акции не начислять и не выплачивать, сообщается в информации торговой площадки.

🔹 Акционеры ПАО ""Новороссийское морское пароходство"" ( ""Новошип"" , входит в группу ""Совкомфлот"" ) на годовом собрании 28 июня приняли решение о выплате финальных дивидендов за 2023 год в размере 0,5 рубля на каждую обыкновенную и привилегированную акцию номиналом 1 рубль, говорится в сообщении ""Новошипа"".

🔹 Продажи новых легковых и легких коммерческих автомобилей (LCV) в России в I полугодии 2024 года выросли на 72,5%, до 774,514 тыс. штук. 

#итогидня
@ifax_go"
экономика,"""Новошип"" по итогам 2023 г. увеличит дивиденды в 12 раз с учетом промежуточных

Акционеры ПАО ""Новороссийское морское пароходство"" (""Новошип"", входит в группу ""Совкомфлот"") на годовом собрании 28 июня приняли решение о выплате финальных дивидендов за 2023 год в размере 0,5 рубля на каждую обыкновенную и привилегированную акцию номиналом 1 рубль, говорится в сообщении ""Новошипа"".

Уставный капитал ""Новошипа"", согласно его отчету за прошлый год, равен 315 629 119 рублям, он разделен на 286 836 224 обыкновенных и 28 792 895 привилегированных акций номиналом 1 рубль. Таким образом, на выплату финальных дивидендов будет направлено 157,815 млн рублей.

Ранее ""Новошип"" направил на выплату промежуточных дивидендов по итогам 9 месяцев 2023 года 11 млрд 488,9 млн рублей (по 36,4 рубля на акцию). Это наибольший объем дивидендов компании (как промежуточных, так и годовых), утвержденных к выплате.

@ifax_go"
